,Conditions,Drug,Smiles,Disease
2437,Rheumatoid Arthritis,Repaglinide,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,immune_system_disease
2442,Seasonal Allergic Rhinitis,Epinastine,C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N,immune_system_disease
2464,Rheumatoid Arthritis,Loxoprofen,CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)O,immune_system_disease
2466,Vincristine Induced Neurotoxicity|Acute Lymphoblastic Leukaemia,Mecobalamin,[CH3-].CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+3],immune_system_disease
2467,Vincristine Induced Neurotoxicity|Acute Lymphoblastic Leukaemia,Pyridoxine,CC1=NC=C(C(=C1O)CO)CO,immune_system_disease
2548,Thrombotic Thrombocytopenic Purpura,Danazol,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5,immune_system_disease
2606,Chronic Lymphocytic Leukemia,Talabostat,B(C1CCCN1C(=O)C(C(C)C)N)(O)O,immune_system_disease
2629,Infertility|Autoimmune Thyroiditis,Thyroxine,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,immune_system_disease
2671,Mantle-Cell Lymphoma,Obatoclax,CC1=CC(=C(N1)C=C2C(=CC(=C3C=C4C=CC=CC4=N3)N2)OC)C,immune_system_disease
2696,Cutaneous T-cell Lymphoma (CTCL),Sapacitabine,CCCCCCCCCCCCCCCC(=O)NC1=NC(=O)N(C=C1)C2C(C(C(O2)CO)O)C#N,immune_system_disease
2730,Type 1 Diabetes,Terbutaline,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,immune_system_disease
2761,HIV Infections|HIV Wasting Syndrome,Nandrolone,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34,immune_system_disease
2776,"Lymphoma, Non-Hodgkin",Pixantrone,C1=CC(=C2C(=C1NCCN)C(=O)C3=C(C2=O)C=NC=C3)NCCN,immune_system_disease
2964,Mitochondrial Diseases|Drug Resistant Epilepsy|Leigh Disease|Leigh Syndrome|Mitochondrial Encephalopathy (MELAS)|Pontocerebellar Hypoplasia Type 6 (PCH6)|Alpers Disease|Alpers Syndrome,Vatiquinone,CC1=C(C(=O)C(=C(C1=O)C)CCC(C)(CCC=C(C)CCC=C(C)CCC=C(C)C)O)C,immune_system_disease
2971,Multiple Sclerosis,Rolipram,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,immune_system_disease
3013,Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia,Idarubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,immune_system_disease
3076,"Ultraviolet Rays|Immunosuppression|Hypersensitivity, Delayed|Immune Tolerance/Drug Effects",Diphencyprone,C1=CC=C(C=C1)C2=C(C2=O)C3=CC=CC=C3,immune_system_disease
3131,HIV Infections,Calanolide A,CCCC1=CC(=O)OC2=C1C3=C(C=CC(O3)(C)C)C4=C2C(C(C(O4)C)C)O,immune_system_disease
3158,Immune Thrombocytopenia (ITP),Lusutrombopag,CCCCCCOC(C)C1=CC=CC(=C1OC)C2=CSC(=N2)NC(=O)C3=CC(=C(C(=C3)Cl)C=C(C)C(=O)O)Cl,immune_system_disease
3311,Atopic Dermatitis,Fluocinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C,immune_system_disease
3323,AIDS Dementia Complex|HIV Infections,Memantine,CC12CC3CC(C1)(CC(C3)(C2)N)C,immune_system_disease
3349,Hodgkins Lymphoma,Goserelin,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,immune_system_disease
3353,Methamphetamine Dependence|HIV Infection,Ibudilast,CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C,immune_system_disease
3354,Atopic Dermatitis,Calcipotriol,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,immune_system_disease
3425,Asthma,Tofimilast,CCC1=NN(C2=C1CCN3C2=NN=C3C4=CC=CS4)C5CCCC5,immune_system_disease
3442,Status Asthmaticus,Ipratropium,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C,immune_system_disease
3520,"Infection, Human Immunodeficiency Virus",Cabotegravir,CC1COC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,immune_system_disease
3573,Autoimmune Disease|Lymphatic Disease|Lymphoproliferative Disorder,Pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,immune_system_disease
3579,Asthma,Revamilast,C1=CC(=C2C(=C1C(=O)N=C3C(=CN(C=C3Cl)O)Cl)C4=C(O2)C=CN=C4)OC(F)F,immune_system_disease
3628,Allergic Reactions,Chlorpheniramine,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,immune_system_disease
3657,Acute Lymphocytic Leukemia|Acute Myelogenous Leukemia,Annamycin,CC1C(C(C(C(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)CO)O)I)O)O,immune_system_disease
3770,"Lymphoma, Non-Hodgkin|HIV Infections",Mitoguazone,CC(=NN=C(N)N)C=NN=C(N)N,immune_system_disease
3805,"Rhinitis, Allergic, Perennial and Seasonal",Levocabastine,CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F,immune_system_disease
3868,Myasthenia Gravis|Ocular Myasthenia Gravis,Apraclonidine,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl,immune_system_disease
3892,Asthma,Oglemilast,CS(=O)(=O)NC1=CC2=C(C=C1)OC3=C(C=CC(=C23)C(=O)NC4=C(C=NC=C4Cl)Cl)OC(F)F,immune_system_disease
3916,Allergy,Desloratadine,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,immune_system_disease
3980,Infectious Mononucleosis,Valomaciclovir,CC(C)C(C(=O)OCCC(CN1C=NC2=C1N=C(NC2=O)N)CO)N,immune_system_disease
4032,HIV/AIDS,Albuvirtide,CCC(C)C(C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(C(C)O)C(=O)NC(CCCCNC(=O)COCCOCCNC(=O)CCN2C(=O)C=CC2=O)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(CC3=CNC=N3)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(=O)O)NC(=O)C(CC4=CNC5=CC=CC=C54)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC6=CNC7=CC=CC=C76)NC(=O)C,immune_system_disease
4056,Ebola|HIV/AIDS,Remdesivir,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,immune_system_disease
4064,Allergic Conjunctivitis,Ketotifen,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,immune_system_disease
4101,Atopic Dermatitis,Ulobetasol,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)F)C)F,immune_system_disease
4102,Atopic Dermatitis,Halobetasol,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)F)C)F,immune_system_disease
4200,"Asthma, Exercise-Induced",Reproterol,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCNCC(C3=CC(=CC(=C3)O)O)O,immune_system_disease
4204,Breast Cancer,Exemestane,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,immune_system_disease
4269,Lymphoma|Advanced Cancer,Tolbutamide,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,immune_system_disease
4270,Lymphoma|Advanced Cancer,Tasisulam,C1=CC(=C(C=C1Cl)Cl)C(=O)NS(=O)(=O)C2=CC=C(S2)Br,immune_system_disease
4396,Acute Lymphoblastic Leukemia|Acute Lymphoblastic Lymphoma,Tioguanine,C1=NC2=C(N1)C(=S)N=C(N2)N,immune_system_disease
4397,Acute Lymphoblastic Leukemia|Acute Lymphoblastic Lymphoma,Thioguanine,C1=NC2=C(N1)C(=S)N=C(N2)N,immune_system_disease
4473,Atopic Dermatitis|Eczema|Chronic Pruritus,Tradipitant,C1=CC=C(C(=C1)C(=O)C2=C(N=CC=C2)C3=C(N(N=N3)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)C5=CC=NC=C5)Cl,immune_system_disease
4528,HIV Infections,Racivir,C1C(OC(S1)CO)N2C=C(C(=NC2=O)N)F,immune_system_disease
4559,Allergic Asthma,Pemirolast,CC1=CC=CN2C1=NC=C(C2=O)C3=NNN=N3,immune_system_disease
4668,Atopic Dermatitis,Delgocitinib,CC1CN(C12CCN(C2)C3=NC=NC4=C3C=CN4)C(=O)CC#N,immune_system_disease
4742,Asthma,Laninamivir,CC(=O)NC1C(C=C(OC1C(C(CO)O)OC)C(=O)O)N=C(N)N,immune_system_disease
4745,HIV Infections|Human Immunodeficiency Virus,Dexelvucitabine,C1=CC(OC1CO)N2C=C(C(=NC2=O)N)F,immune_system_disease
4761,Multiple Sclerosis,Oxcarbazepine,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,immune_system_disease
4811,HIV Infections,Foscarnet,C(=O)(O)P(=O)(O)O,immune_system_disease
4976,"Diabetes Mellitus, Insulin-Dependent",Ladarixin,CC(C1=CC=C(C=C1)OS(=O)(=O)C(F)(F)F)C(=O)NS(=O)(=O)C,immune_system_disease
5309,HIV Infections,Amdoxovir,C1C(OC(O1)CO)N2C=NC3=C(N=C(N=C32)N)N,immune_system_disease
5398,Recurrent Anaplastic Large Cell Lymphoma|Recurrent Diffuse Large B-Cell Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Transformed Non-Hodgkin Lymphoma|Refractory Anaplastic Large Cell Lymphoma|Refractory Diffuse Large B-Cell Lymphoma|Refractory Mantle Cell Lymphoma|Refractory Transformed Non-Hodgkin Lymphoma,Onalespib,CC(C)C1=CC(=C(C=C1O)O)C(=O)N2CC3=C(C2)C=C(C=C3)CN4CCN(CC4)C,immune_system_disease
5460,Asthma,Olodaterol,CC(C)(CC1=CC=C(C=C1)OC)NCC(C2=C3C(=CC(=C2)O)NC(=O)CO3)O,immune_system_disease
5566,Chronic Lymphocytic Leukemia,Ceralasertib,CC1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=N)(=O)C)C4=C5C=CNC5=NC=C4,immune_system_disease
5585,Non-Hodgkin's Lymphoma,Dulanermin,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,immune_system_disease
5709,HIV Infections,Oxazepam,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,immune_system_disease
5763,"Leukemia, Lymphocytic, Acute|Leukemia, Nonlymphocytic, Acute|Leukemia, Myeloid, Chronic|Myelodysplastic Syndromes",Vosaroxin,CNC1CN(CC1OC)C2=NC3=C(C=C2)C(=O)C(=CN3C4=NC=CS4)C(=O)O,immune_system_disease
5922,HIV Infections,Vesnarinone,COC1=C(C=C(C=C1)C(=O)N2CCN(CC2)C3=CC4=C(C=C3)NC(=O)CC4)OC,immune_system_disease
5923,Leukemias|Acute Myeloid Leukemia (AML)|Acute Lymphocytic Leukemia (ALL)|Adult T Cell Leukemia (ATL)|Chronic Myeloid Leukemia (CML-BP)|Chronic Lymphocytic Leukemia (CLL)|Myelodysplastic Syndrome (MDS)|Chronic Myelomonocytic Leukemia (CMML),Terameprocol,CC(CC1=CC(=C(C=C1)OC)OC)C(C)CC2=CC(=C(C=C2)OC)OC,immune_system_disease
5976,Secondary Progressive Multiple Sclerosis,Lamotrigine,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,immune_system_disease
6459,HIV Infections,Simethicone,CO[Si](C)(C)O[Si](C)(C)C.O=[Si]=O,immune_system_disease
6544,HIV-1-infection,Lenacapavir,CC(C)(C#CC1=NC(=C(C=C1)C2=C3C(=C(C=C2)Cl)C(=NN3CC(F)(F)F)NS(=O)(=O)C)C(CC4=CC(=CC(=C4)F)F)NC(=O)CN5C6=C(C7CC7C6(F)F)C(=N5)C(F)(F)F)S(=O)(=O)C,immune_system_disease
6603,Sjögren Syndrome,Remibrutinib,CC1=C(C=C(C=C1NC(=O)C2=C(C=C(C=C2)C3CC3)F)F)C4=C(C(=NC=N4)N)OCCN(C)C(=O)C=C,immune_system_disease
6693,HIV Infections,Gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,immune_system_disease
6737,"Pneumonia, Pneumocystis Carinii|HIV Infections",Sitamaquine,CCN(CC)CCCCCCNC1=CC(=CC2=C(C=CN=C12)C)OC,immune_system_disease
6746,Hematopoietic and Lymphoid Cell Neoplasm|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Myelomonocytic Leukemia|Recurrent Myelodysplastic Syndrome|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Myelomonocytic Leukemia|Refractory Myelodysplastic Syndrome,Posaconazole,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,immune_system_disease
6806,HIV Infections|Peripheral Nervous System Disease,Benzatropine,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,immune_system_disease
6807,HIV Infections|Peripheral Nervous System Disease,Benztropine,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4,immune_system_disease
6808,HIV Infections|Peripheral Nervous System Disease,Amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,immune_system_disease
6820,Allergic Conjunctivitis,Loteprednol,CC12CC(C3C(C1CCC2(C(=O)OCCl)O)CCC4=CC(=O)C=CC34C)O,immune_system_disease
6848,Chronic Urticaria,Miltefosine,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,immune_system_disease
6849,Mild to Moderate Atopic Dermatitis,Crisaborole,B1(C2=C(CO1)C=C(C=C2)OC3=CC=C(C=C3)C#N)O,immune_system_disease
6993,Seasonal Allergic Rhinitis,Bepotastine,C1CN(CCC1OC(C2=CC=C(C=C2)Cl)C3=CC=CC=N3)CCCC(=O)O,immune_system_disease
7060,"Pneumonia, Pneumocystis Carinii|HIV Infections",Dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,immune_system_disease
7093,Atopic Dermatitis,Omiganan,CCC(C)C(C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)N3CCCC3C(=O)NC(CC4=CNC5=CC=CC=C54)C(=O)NC(CC6=CNC7=CC=CC=C76)C(=O)N8CCCC8C(=O)NC(CC9=CNC1=CC=CC=C19)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)N)N,immune_system_disease
7237,Multiple Sclerosis,Ponesimod,CCCN=C1N(C(=O)C(=CC2=CC(=C(C=C2)OCC(CO)O)Cl)S1)C3=CC=CC=C3C,immune_system_disease
7279,Type 1 Diabetes Mellitus|Type 2 Diabetes Mellitus,Ruboxistaurin,CN(C)CC1CCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCO1)C6=CC=CC=C65)C(=O)NC4=O,immune_system_disease
7355,Advanced Solid Tumors|Lymphomas,Camptothecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,immune_system_disease
7413,Type 1 Diabetes Mellitus|Type 2 Diabetes Mellitus,Ebselen,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,immune_system_disease
7453,HIV Infections,Glycovir,CCCCN1CC(C(C(C1COC(=O)CCC)OC(=O)CCC)OC(=O)CCC)OC(=O)CCC,immune_system_disease
7719,HIV Infections,Dinitrochlorobenzene,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,immune_system_disease
7778,Asthma,Setipiprant,C1CN(CC2=C1N(C3=C2C=C(C=C3)F)CC(=O)O)C(=O)C4=CC=CC5=CC=CC=C54,immune_system_disease
7919,Allergic Rhinitis|Upper Respiratory Infection,Doxylamine,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,immune_system_disease
7939,"Diabetes Mellitus, Type 1",Deoxyspergualin,C(CCCN=C(N)N)CCC(=O)NC(C(=O)NCCCCNCCCN)O,immune_system_disease
7974,Hodgkin Lymphoma,Mocetinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC3=NC=CC(=N3)C4=CN=CC=C4,immune_system_disease
7993,Relapsing Remitting Multiple Sclerosis,Flupirtine,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,immune_system_disease
8058,Atopic Dermatitis,Tapinarof,CC(C)C1=C(C=C(C=C1O)C=CC2=CC=CC=C2)O,immune_system_disease
8063,Mantle Cell Lymphoma|Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Elsamitrucin,CC1C(C(C(C(O1)OC2C(OC(C(C2(C)O)O)C)OC3=CC=CC4=C3C5=C6C7=C(C=CC(=C7C(=O)O5)C)OC(=O)C6=C4O)N)OC)O,immune_system_disease
8111,Human Immunodeficiency Virus (HIV) Infection,Islatravir,C#CC1(C(CC(O1)N2C=NC3=C(N=C(N=C32)F)N)O)CO,immune_system_disease
8199,Type 1 Diabetes|Hypoglycemia,Pitolisant,C1CCN(CC1)CCCOCCCC2=CC=C(C=C2)Cl,immune_system_disease
8277,HIV Infections,Bevirimat,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)OC(=O)CC(C)(C)C(=O)O)C)C(=O)O,immune_system_disease
8333,Advanced Solid Tumor|Lymphoma,Milademetan,CC1(CCC2(CC1)C3(C(C(N2)C(=O)NC4CCC(OC4)C(=O)N)C5=C(C(=NC=C5)Cl)F)C6=C(C=C(C=C6)Cl)NC3=O)C,immune_system_disease
8432,Lymphoma,Tetracycline,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,immune_system_disease
8551,HIV Infections,Telinavir,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)C(CC(=O)N)NC(=O)C2=NC3=CC=CC=C3C=C2)O)C(=O)NC(C)(C)C,immune_system_disease
8579,Follicular Lymphoma (FL/Indolent NHL)|Aggressive NHL (a NHL)|Chronic Lymphocytic Leukemia (CLL) / Small Lymphocytic Lymphoma (SLL)|T-cell Lymphoma (PTCL and CTCL)|B-cell Non Hodgkin Lymphoma (NHL),Cerdulatinib,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N,immune_system_disease
8585,Muscle Spasticity,Tizanidine,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,immune_system_disease
8769,HIV Infections,Peldesine,C1=CC(=CN=C1)CC2=CNC3=C2N=C(NC3=O)N,immune_system_disease
8813,Multiple Sclerosis,Isoxsuprine,CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O,immune_system_disease
8918,Type 1 Diabetes Mellitus,Alprazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,immune_system_disease
8999,Asthma,Nedocromil,CCCC1=C2C(=CC3=C1OC(=CC3=O)C(=O)O)C(=O)C=C(N2CC)C(=O)O,immune_system_disease
9058,"Multiple Sclerosis, Relapsing-Remitting|Multiple Sclerosis",Guanabenz,C1=CC(=C(C(=C1)Cl)C=NN=C(N)N)Cl,immune_system_disease
9186,Burkitt Lymphoma|CD20-Positive Neoplastic Cells Present|Diffuse Large B-Cell Lymphoma|Indolent Non-Hodgkin Lymphoma|Mantle Cell Lymphoma|Recurrent B-Cell Non-Hodgkin Lymphoma|Refractory Mature B-Cell Non-Hodgkin Lymphoma,Biotin,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,immune_system_disease
9407,Impaired Processing Speed|Cognitive Impairment|Multiple Sclerosis,Amphetamine,CC(CC1=CC=CC=C1)N,immune_system_disease
9679,Healthy|Type 1 Diabetes,Lisofylline,CC(CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C)O,immune_system_disease
9837,Rheumatoid Arthritis,Cetrorelix,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CCCNC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C,immune_system_disease
9879,Progressive Multiple Sclerosis,Dexchlorpheniramine,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,immune_system_disease
10175,Diffuse B-Cell Lymphoma,Avadomide,CC1=NC2=CC=CC(=C2C(=O)N1C3CCC(=O)NC3=O)N,immune_system_disease
10185,COVID-19,Nirmatrelvir,CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,immune_system_disease
10494,"Eczema, Atopic",Palmidrol,CCCCCCCCCCCCCCCC(=O)NCCO,immune_system_disease
10641,Relapsed/Refractory B Cell Malignancies|Mantle Cell Lymphoma and Diffuse Large B Cell Lymphoma|Chronic Lymphocytic Leukemia|Small Lymphocytic Lymphoma|Treatment-Naive B Cell Malignancies,Navtemadlin,CC(C)C(CS(=O)(=O)C(C)C)N1C(C(CC(C1=O)(C)CC(=O)O)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl,immune_system_disease
10657,HIV Infection,Tucaresol,C1=CC(=C(C(=C1)OCC2=CC=C(C=C2)C(=O)O)C=O)O,immune_system_disease
10785,"Leukemia, B-Cell, Chronic",Acadesine,C1=NC(=C(N1C2C(C(C(O2)CO)O)O)N)C(=O)N,immune_system_disease
10940,Active Rheumatoid Arthritis,Tranilast,COC1=C(C=C(C=C1)C=CC(=O)NC2=CC=CC=C2C(=O)O)OC,immune_system_disease
10968,Lymphoma,Granisetron,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,immune_system_disease
10978,B-cell Lymphoma Recurrent|B-cell Lymphoma Refractory,Orelabrutinib,C=CC(=O)N1CCC(CC1)C2=NC(=C(C=C2)C(=O)N)C3=CC=C(C=C3)OC4=CC=CC=C4,immune_system_disease
11002,HIV Infections,Lentinan,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)OC5C(C(C(C(O5)COC6C(C(C(C(O6)CO)O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)O)O)O)O)O)O)O)O,immune_system_disease
11006,Type 1 Diabetes,Leptin,CC(C)CC(C(=NC(CCC(=N)O)C(=NCC(=NC(CO)C(=NC(CC(C)C)C(=NC(CCC(=N)O)C(=NC(CC(=O)O)C(=NC(CCSC)C(=NC(CC(C)C)C(=NC(CC1=CNC2=CC=CC=C21)C(=NC(CCC(=N)O)C(=NC(CC(C)C)C(=NC(CC(=O)O)C(=NC(CC(C)C)C(=NC(CO)C(=O)N3CCCC3C(=NCC(=NC(CS)C(=O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)N,immune_system_disease
11192,HIV Infections,Alovudine,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)F,immune_system_disease
11293,Chronic Lymphocytic Leukemia,Oblimersen,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=S)([O-])OC3CC(OC3COP(=O)(OC4CC(OC4COP(=S)([O-])OC5CC(OC5COP(=S)([O-])OC6CC(OC6COP(=S)([O-])OC7CC(OC7COP(=S)([O-])OC8CC(OC8COP(=S)([O-])OC9CC(OC9COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1COP(=S)([O-])OC1CC(OC1CO)N1C=C(C(=O)NC1=O)C)N1C=CC(=NC1=O)N)N1C=C(C(=O)NC1=O)C)N1C=CC(=NC1=O)N)N1C=CC(=NC1=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=CC(=NC1=O)N)[S-])N1C=NC2=C(N=CN=C21)N)O.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],immune_system_disease
11305,Latent Tuberculosis|Human Immunodeficiency Virus|Rifamycins Causing Adverse Effects in Therapeutic Use|Drug Interaction Potentiation,Rifapentine,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,immune_system_disease
11306,Latent Tuberculosis|Human Immunodeficiency Virus|Rifamycins Causing Adverse Effects in Therapeutic Use|Drug Interaction Potentiation,Isoniazid,C1=CN=CC=C1C(=O)NN,immune_system_disease
